MOEA/D Results (n=100, 1000 instances)
Gen=500, T=3, Mutation=0.3, Seed=1234
Time: 38036.1s
Hypervolume: 733483.0682 (ref: f1=6514.85, f2=518.02)

    l1    l2     f1_mean    f1_std     f2_mean    f2_std
   0.0   1.0     5922.59    498.57        0.05      0.37
   0.0   1.0     5688.99    370.05        4.34      3.28
   0.0   1.0     5628.56    354.49        8.73      5.59
   0.0   1.0     5563.46    341.35       13.81      7.26
   0.0   1.0     5529.54    336.43       18.28      8.99
   0.1   0.9     5490.36    329.54       23.14     10.34
   0.1   0.9     5459.89    324.62       26.82     11.69
   0.1   0.9     5440.12    322.33       30.95     13.27
   0.1   0.9     5423.85    318.73       34.04     14.69
   0.1   0.9     5397.03    315.88       38.22     15.95
   0.1   0.9     5383.39    313.92       41.43     16.97
   0.1   0.9     5373.50    313.09       44.88     18.38
   0.1   0.9     5353.54    308.24       48.29     19.27
   0.1   0.9     5337.40    304.45       51.91     20.58
   0.1   0.9     5330.32    302.96       55.91     21.51
   0.1   0.8     5312.36    300.71       58.66     22.64
   0.2   0.8     5299.58    300.82       61.53     23.47
   0.2   0.8     5293.04    299.31       65.28     24.43
   0.2   0.8     5286.79    297.31       67.13     25.30
   0.2   0.8     5272.35    294.02       70.35     26.93
   0.2   0.8     5266.08    293.23       72.90     27.93
   0.2   0.8     5262.77    293.16       76.05     28.96
   0.2   0.8     5248.62    292.73       78.34     30.09
   0.2   0.8     5243.39    291.35       81.54     31.48
   0.2   0.8     5238.17    291.90       84.30     32.55
   0.2   0.8     5234.29    291.62       85.63     33.07
   0.3   0.7     5222.53    290.26       89.10     34.85
   0.3   0.7     5215.48    289.95       92.58     35.94
   0.3   0.7     5212.94    290.01       96.94     37.88
   0.3   0.7     5206.52    290.19       98.76     38.68
   0.3   0.7     5200.81    288.66      100.64     39.61
   0.3   0.7     5200.31    288.75      102.53     40.17
   0.3   0.7     5190.38    287.87      106.52     41.51
   0.3   0.7     5184.42    287.55      109.87     42.18
   0.3   0.7     5182.57    287.46      115.33     44.61
   0.3   0.7     5177.24    287.01      116.84     45.57
   0.4   0.6     5172.47    286.32      118.79     45.46
   0.4   0.6     5171.89    286.26      120.12     46.14
   0.4   0.6     5161.18    284.32      123.12     48.99
   0.4   0.6     5155.33    283.56      126.22     49.83
   0.4   0.6     5153.10    283.35      130.91     51.72
   0.4   0.6     5148.73    282.76      132.47     53.30
   0.4   0.6     5144.44    282.88      134.41     53.68
   0.4   0.6     5144.69    282.94      137.13     54.22
   0.4   0.6     5135.57    283.39      140.75     54.55
   0.5   0.6     5129.03    283.17      145.05     56.50
   0.5   0.5     5128.72    284.16      150.31     58.54
   0.5   0.5     5124.31    283.88      151.60     59.10
   0.5   0.5     5119.90    284.34      154.09     60.21
   0.5   0.5     5116.81    284.55      157.23     60.66
   0.5   0.5     5112.98    283.84      159.87     61.89
   0.5   0.5     5110.87    284.63      162.58     62.45
   0.5   0.5     5108.01    283.88      165.29     63.69
   0.5   0.5     5107.37    284.43      167.96     65.37
   0.5   0.5     5098.62    283.41      171.78     67.62
   0.6   0.4     5093.04    284.00      176.67     69.09
   0.6   0.4     5090.80    283.82      183.69     71.49
   0.6   0.4     5086.78    283.93      185.00     72.53
   0.6   0.4     5083.29    283.89      187.29     73.79
   0.6   0.4     5080.84    284.85      190.19     74.91
   0.6   0.4     5077.26    284.63      192.96     74.52
   0.6   0.4     5073.97    283.73      196.43     76.31
   0.6   0.4     5072.40    283.76      199.70     77.78
   0.6   0.4     5069.26    283.71      202.15     78.97
   0.6   0.4     5066.29    284.32      204.48     79.39
   0.7   0.3     5066.24    284.20      206.12     79.60
   0.7   0.3     5058.09    283.78      211.61     81.43
   0.7   0.3     5053.78    283.44      217.78     83.86
   0.7   0.3     5052.95    283.42      226.78     86.30
   0.7   0.3     5049.42    283.56      229.01     88.07
   0.7   0.3     5045.69    283.88      232.38     91.00
   0.7   0.3     5042.89    283.74      236.29     91.27
   0.7   0.3     5039.56    283.48      240.03     91.63
   0.7   0.3     5036.67    284.32      243.70     94.38
   0.7   0.3     5032.99    284.76      247.89     94.73
   0.8   0.2     5030.58    284.93      252.32     96.03
   0.8   0.2     5028.03    284.69      258.62     97.85
   0.8   0.2     5025.16    285.54      263.48     98.78
   0.8   0.2     5024.61    285.75      267.47    100.28
   0.8   0.2     5016.26    285.37      274.34    102.45
   0.8   0.2     5012.26    285.38      284.17    106.60
   0.8   0.2     5011.32    284.85      299.38    109.80
   0.8   0.2     5007.68    284.90      303.09    112.03
   0.8   0.2     5003.78    284.64      308.27    113.44
   0.8   0.2     5001.19    284.87      314.56    114.35
   0.8   0.2     4997.50    285.13      322.33    116.02
   0.9   0.1     4994.29    286.31      331.92    120.45
   0.9   0.1     4990.48    285.52      339.35    123.02
   0.9   0.1     4986.89    285.50      346.33    122.38
   0.9   0.1     4982.27    285.88      356.45    129.88
   0.9   0.1     4980.58    285.95      365.02    131.27
   0.9   0.1     4972.90    286.34      378.50    134.64
   0.9   0.1     4967.82    286.63      395.62    137.36
   0.9   0.1     4967.17    286.91      421.95    141.88
   0.9   0.1     4963.31    286.56      426.91    144.11
   0.9   0.1     4960.15    286.21      433.94    146.99
   1.0   0.0     4958.67    286.55      444.77    148.40
   1.0   0.0     4956.96    286.78      453.94    152.97
   1.0   0.0     4957.74    287.30      463.81    156.14
   1.0   0.0     4958.67    287.82      469.03    159.91
   1.0   0.0     4961.10    288.44      470.93    160.84
